wl,nr,Kab,Kcar,Ks,Kw,Kdm,nw,flu1,flu2,GSV1,GSV2,GSV3,KcaV,KcaZ
400,1.5135,0.02676,2.90E-01,5.27E-01,5.80E-05,1.10E+02,1.34E+00,0,0,0.28689,-0.09483,0.14205,0.28950,0.28950
401,1.5131,0.03113,2.80E-01,5.26E-01,5.85E-05,1.04E+02,1.34E+00,0,0,0.28886,-0.09637,0.14343,0.27960,0.27960
402,1.5126,0.03561,2.69E-01,5.25E-01,5.90E-05,9.80E+01,1.34E+00,0,0,0.29083,-0.09791,0.14478,0.26930,0.26930
403,1.5121,0.03972,2.60E-01,5.24E-01,5.99E-05,9.24E+01,1.34E+00,0,0,0.29283,-0.09943,0.14609,0.26010,0.26010
404,1.5116,0.04321,2.53E-01,5.23E-01,6.10E-05,8.71E+01,1.34E+00,0,0,0.29483,-0.10095,0.14737,0.25250,0.25250
405,1.5111,0.04606,2.46E-01,5.22E-01,6.20E-05,8.23E+01,1.34E+00,0,0,0.29686,-0.10245,0.14862,0.24560,0.24560
406,1.5105,0.04815,2.40E-01,5.21E-01,6.30E-05,7.81E+01,1.34E+00,0,0,0.29890,-0.10395,0.14985,0.24020,0.24020
407,1.51,0.05007,2.35E-01,5.20E-01,6.40E-05,7.40E+01,1.34E+00,0,0,0.30097,-0.10544,0.15104,0.23520,0.23520
408,1.5095,0.05189,2.30E-01,5.19E-01,6.50E-05,7.01E+01,1.34E+00,0,0,0.30307,-0.10692,0.15220,0.23030,0.23030
409,1.5089,0.05346,2.26E-01,5.18E-01,6.60E-05,6.65E+01,1.34E+00,0,0,0.30520,-0.10839,0.15334,0.22550,0.22550
410,1.5084,0.05526,2.20E-01,5.17E-01,6.70E-05,6.30E+01,1.34E+00,0,0,0.30735,-0.10985,0.15444,0.22029,0.22030
411,1.5078,0.05721,2.15E-01,5.16E-01,6.79E-05,5.95E+01,1.34E+00,0,0,0.30955,-0.11129,0.15552,0.21509,0.21510
412,1.5073,0.05891,2.11E-01,5.15E-01,6.90E-05,5.62E+01,1.34E+00,0,0,0.31178,-0.11273,0.15658,0.21049,0.21050
413,1.5068,0.06004,2.07E-01,5.14E-01,7.05E-05,5.30E+01,1.34E+00,0,0,0.31405,-0.11416,0.15761,0.20689,0.20690
414,1.5062,0.061,2.04E-01,5.13E-01,7.20E-05,5.00E+01,1.34E+00,0,0,0.31637,-0.11558,0.15862,0.20349,0.20350
415,1.5057,0.06189,2.00E-01,5.12E-01,7.31E-05,4.72E+01,1.34E+00,0,0,0.31873,-0.11698,0.15960,0.20019,0.20020
416,1.5052,0.06259,1.97E-01,5.11E-01,7.40E-05,4.46E+01,1.34E+00,0,0,0.32114,-0.11838,0.16056,0.19709,0.19710
417,1.5047,0.06318,1.94E-01,5.10E-01,7.49E-05,4.22E+01,1.34E+00,0,0,0.32361,-0.11976,0.16150,0.19429,0.19430
418,1.5043,0.06367,1.91E-01,5.09E-01,7.60E-05,4.00E+01,1.34E+00,0,0,0.32612,-0.12113,0.16242,0.19139,0.19140
419,1.5038,0.06416,1.89E-01,5.08E-01,7.74E-05,3.78E+01,1.34E+00,0,0,0.32870,-0.12249,0.16331,0.18889,0.18890
420,1.5034,0.06475,1.87E-01,5.07E-01,7.90E-05,3.57E+01,1.34E+00,0,0,0.33134,-0.12384,0.16419,0.18659,0.18660
421,1.503,0.06555,1.84E-01,5.06E-01,8.06E-05,3.36E+01,1.34E+00,0,0,0.33404,-0.12518,0.16505,0.18439,0.18440
422,1.5026,0.06628,1.82E-01,5.05E-01,8.20E-05,3.17E+01,1.34E+00,0,0,0.33681,-0.12651,0.16589,0.18229,0.18230
423,1.5023,0.0669,1.81E-01,5.04E-01,8.30E-05,2.99E+01,1.34E+00,0,0,0.33964,-0.12783,0.16670,0.18049,0.18050
424,1.502,0.06718,1.79E-01,5.03E-01,8.40E-05,2.83E+01,1.34E+00,0,0,0.34255,-0.12914,0.16750,0.17919,0.17920
425,1.5016,0.06747,1.78E-01,5.02E-01,8.55E-05,2.68E+01,1.34E+00,0,0,0.34554,-0.13044,0.16827,0.17769,0.17770
426,1.5013,0.06795,1.76E-01,5.01E-01,8.70E-05,2.54E+01,1.34E+00,0,0,0.34860,-0.13175,0.16902,0.17618,0.17620
427,1.5011,0.06854,1.75E-01,5.00E-01,8.80E-05,2.40E+01,1.34E+00,0,0,0.35174,-0.13305,0.16975,0.17468,0.17470
428,1.5008,0.06897,1.74E-01,4.99E-01,8.90E-05,2.28E+01,1.34E+00,0,0,0.35496,-0.13434,0.17045,0.17348,0.17350
429,1.5005,0.06931,1.72E-01,4.98E-01,9.05E-05,2.15E+01,1.34E+00,0,0,0.35827,-0.13564,0.17113,0.17238,0.17240
430,1.5003,0.06979,1.72E-01,4.97E-01,9.20E-05,2.02E+01,1.34E+00,0,0,0.36167,-0.13694,0.17177,0.17148,0.17150
431,1.5,0.07037,1.71E-01,4.96E-01,9.30E-05,1.90E+01,1.34E+00,0,0,0.36516,-0.13824,0.17240,0.17069,0.17070
432,1.4998,0.07082,1.70E-01,4.95E-01,9.40E-05,1.79E+01,1.34E+00,0,0,0.36872,-0.13955,0.17300,0.17008,0.17010
433,1.4995,0.07114,1.69E-01,4.94E-01,9.55E-05,1.68E+01,1.34E+00,0,0,0.37234,-0.14086,0.17358,0.16938,0.16940
434,1.4993,0.07141,1.69E-01,4.92E-01,9.70E-05,1.58E+01,1.34E+00,0,0,0.37600,-0.14217,0.17416,0.16878,0.16880
435,1.4991,0.0716,1.68E-01,4.91E-01,9.80E-05,1.48E+01,1.34E+00,0,0,0.37968,-0.14348,0.17473,0.16818,0.16820
436,1.4988,0.07174,1.68E-01,4.90E-01,9.90E-05,1.39E+01,1.34E+00,0,0,0.38337,-0.14479,0.17530,0.16778,0.16780
437,1.4986,0.07177,1.67E-01,4.89E-01,1.01E-04,1.31E+01,1.34E+00,0,0,0.38705,-0.14610,0.17588,0.16738,0.16740
438,1.4984,0.07171,1.67E-01,4.88E-01,1.02E-04,1.23E+01,1.34E+00,0,0,0.39070,-0.14741,0.17648,0.16698,0.16700
439,1.4981,0.07155,1.67E-01,4.86E-01,1.03E-04,1.16E+01,1.34E+00,0,0,0.39431,-0.14871,0.17709,0.16668,0.16670
440,1.4979,0.0712,1.66E-01,4.85E-01,1.04E-04,1.10E+01,1.34E+00,0,0,0.39785,-0.15002,0.17773,0.16636,0.16640
441,1.4977,0.07048,1.66E-01,4.84E-01,1.05E-04,1.04E+01,1.34E+00,0,0,0.40132,-0.15132,0.17840,0.16585,0.16590
442,1.4974,0.06963,1.65E-01,4.83E-01,1.06E-04,9.92E+00,1.34E+00,0,0,0.40471,-0.15262,0.17911,0.16524,0.16530
443,1.4972,0.06883,1.65E-01,4.82E-01,1.07E-04,9.41E+00,1.34E+00,0,0,0.40800,-0.15391,0.17985,0.16463,0.16470
444,1.4969,0.06789,1.64E-01,4.81E-01,1.08E-04,8.95E+00,1.34E+00,0,0,0.41119,-0.15520,0.18063,0.16399,0.16410
445,1.4967,0.06685,1.63E-01,4.79E-01,1.09E-04,8.51E+00,1.34E+00,0,0,0.41428,-0.15649,0.18145,0.16309,0.16320
446,1.4965,0.06583,1.62E-01,4.78E-01,1.10E-04,8.09E+00,1.34E+00,0,0,0.41725,-0.15777,0.18232,0.16225,0.16240
447,1.4962,0.0648,1.62E-01,4.77E-01,1.11E-04,7.64E+00,1.34E+00,0,0,0.42009,-0.15905,0.18324,0.16132,0.16150
448,1.496,0.06358,1.61E-01,4.76E-01,1.12E-04,7.27E+00,1.34E+00,0,0,0.42281,-0.16032,0.18420,0.16023,0.16050
449,1.4958,0.06225,1.59E-01,4.75E-01,1.13E-04,6.94E+00,1.34E+00,0,0,0.42539,-0.16159,0.18522,0.15885,0.15920
450,1.4955,0.0609,1.58E-01,4.73E-01,1.14E-04,6.66E+00,1.34E+00,0,0,0.42783,-0.16285,0.18629,0.15728,0.15770
451,1.4953,0.05956,1.56E-01,4.72E-01,1.15E-04,6.42E+00,1.34E+00,0,0,0.43011,-0.16411,0.18742,0.15560,0.15610
452,1.4951,0.05812,1.54E-01,4.71E-01,1.16E-04,6.22E+00,1.34E+00,0,0,0.43226,-0.16536,0.18860,0.15387,0.15440
453,1.4949,0.05677,1.53E-01,4.70E-01,1.17E-04,6.01E+00,1.34E+00,0,0,0.43427,-0.16660,0.18983,0.15224,0.15280
454,1.4947,0.05553,1.51E-01,4.68E-01,1.18E-04,5.78E+00,1.34E+00,0,0,0.43615,-0.16783,0.19110,0.15064,0.15130
